8/6p1/5pk1/4p3/3pP1KP/PQ6/5P2/6r1 w - - 1 37|a1g1|Rg1+|g4f3
r2qkb1r/5ppp/p1p1p3/3n4/Q7/2N2b2/PP1P1PPP/R1B2RK1 w kq - 0 12|g4f3|Bxf3|a4c6
r4rk1/pp1n1pb1/1q3pp1/2pp3p/3P3P/2PBPN2/PPQ2PP1/2K3RR b - - 1 14|d1g1|Rdg1|c5d4
r1bqk1r1/2p1bp2/p1np1n1p/1p2p1p1/3PP3/1BP2N1P/PP3PP1/RNBQR1K1 w q - 0 11|g7g5|g5|b1d2
rn1qk1nr/pp1b1ppp/8/3Pp3/1bB5/2N2N2/PP3PPP/R1BQK2R b KQkq - 2 8|g1f3|Nf3|g8f6
rnbqk1nr/ppp1bppp/3p4/8/3NP3/3B4/PPP2PPP/RNBQK2R b KQkq - 2 5|f1d3|Bd3|e7f6
r4rk1/ppp1bpp1/3pqn1p/8/4P3/1PN1Q3/PBP2PPP/R4RK1 w - - 3 13|e8g8|O-O|g1h1
8/8/7p/KP5k/P7/6p1/8/8 w - - 0 52|g4g3|g3|b5b6
r1br2k1/pp3pbp/1n4p1/4p3/4N3/P3PN2/BP3PPP/2R2RK1 w - - 0 17|f8d8|Rxd8|c1d1
1r2qr1k/2p1bpp1/4p2p/p1PnP3/1P2N1Q1/P2BB3/5PPP/3R2K1 w - - 2 25|g8h8|Kh8|e3h6
r2r4/p3kpQ1/2pqb3/2p1p3/3pPn2/BP1P1N2/P1P2RPP/6K1 b - - 0 25|h7g7|Qxg7|d8g8
r3kbnr/ppp1p2p/2n2pp1/3p1q2/3P1B2/4P3/PPP2PPP/RN1QK1NR w KQkq - 0 8|d7f5|Qxf5|f4c7
r3kb1r/p1p2ppp/1pn1p3/5bq1/2BPpP2/1QP1P1B1/PP4PP/R3K1NR b KQkq - 0 11|f3f4|f4|g5h5
rn1q2k1/ppp2pb1/3p3p/6p1/3Pr1b1/1QP1P1B1/PP4PP/R3KB1R w KQ - 0 16|e8e4|Rxe4|g3f2
2kr3r/1pp4q/p1n1Rp2/3p1n2/PP1P1BQ1/2PB4/5PPN/R5K1 w - - 1 22|d7h7|Qh7|d3f5
r1bqr1k1/ppp2Bbp/3p2n1/4P3/7P/2N1BQ2/PPP3P1/2KR3R b - - 0 17|c4f7|Bxf7+|g8h8
2kr3r/ppp2R1p/2n5/4p3/PPPp4/1K1P1P2/8/8 w - - 2 29|e7c6|Nc6|b4b5
r2qkb1r/p2bn1p1/2pp3p/4p3/Q3P2B/2N2N2/PPP3PP/R3K2R b KQkq - 1 12|g5h4|Bh4|d8b6
r1bqkbnr/pppp1ppp/8/1B2p3/3nP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4|c6d4|Nd4|f3d4
r1b1k2r/p4ppp/2p1p3/1p6/4N2P/3B4/PbP2PP1/R3K2R w KQkq - 0 15|d4b2|Bxb2|a1b1
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2|g1f3|Nf3|g8f6
r3k2r/pp1bbppp/2p1p3/q7/3PQ3/3B1N2/PPP2PPP/1K1R3R b kq - 4 12|c1b1|Kb1|e8c8
r1bqk2r/pppp2pp/2n2b2/4p3/2B1P3/5N2/PPP2PPP/RN1QK2R w KQkq - 0 8|e7f6|Bxf6|e1g1
8/p3K3/1q6/1p6/5k2/8/8/8 b - - 3 52|d7e7|Ke7|b6e3
rnb3nr/3kbppp/8/pN1pN3/8/8/PPPP1PPP/R1B1K2R b KQ - 2 11|f3e5|Ne5+|d7d8
r5k1/pb1r2p1/4NpPp/3p1P2/4pK2/2P4P/PP6/R2R4 b - - 4 29|f1d1|Rfd1|a8d8
rnbq1b1r/pp3kp1/2p1pn1p/8/3P4/5N2/PPP2PPP/R1BQKB1R w KQ - 0 8|e7e6|e6|f1d3
