8/8/2k5/p5pp/2P1N3/1n2B1KP/1P6/8 b - - 4 39|b6e3|Be3|h5h4
8/p2r1pk1/1p1r1qp1/3P3p/1PQ5/7P/3R1PP1/3R2K1 w - - 0 32|h6h5|h5|d2d3
r1bqk2r/pp2bpp1/2np1n1p/2p1p3/4P3/P1PP1NP1/1P3PBP/RNBQ1RK1 b kq - 0 8|c2c3|c3|e8g8
r2q1rk1/ppp2pp1/2B1b2p/3p4/3PnB2/P1P1PN1P/5PP1/R2QK2R b KQ - 0 12|b5c6|Bxc6|b7c6
1n1qk2r/4bppp/2p1pn2/1pPp1B2/1P1P4/2N1PN2/5PPP/B2QK2R b Kk - 0 13|d3f5|Bxf5|e6f5
5r1k/pp4pp/2pb4/8/4n3/P5P1/BPK2RbP/8 w - - 3 32|g8h8|Kh8|f2g2
rnbqkbnr/pp3ppp/3p4/2pPp3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5|d7d6|d6|b1c3
rnbqk2r/pp2npbp/2p1p1p1/4P3/2BP4/2N2N2/PP3PPP/R1BQK2R w KQkq - 1 8|g8e7|Ne7|c1g5
3q1b1r/2Nb1pp1/8/2Q1nk1p/4N2P/4P1P1/PrP1P3/R3KR2 b Q - 7 21|h1f1|Rf1+|f5g4
r1bqk1nr/pppp3p/2nb1p2/6p1/2BPPp2/5N2/PPP3PP/RNBQ1RK1 w kq - 0 7|g7g5|g5|e4e5
5Q2/5p2/p4k2/1p1PpN2/6P1/1P3PK1/P7/7q b - - 12 49|h3g3|Kg3|h1g1
r2qr1k1/pppnbppp/8/3p2B1/3P2n1/2N5/PPP1BPPP/R2Q1RK1 w - - 0 11|f6g4|Nxg4|g5e7
3r1rk1/pppq1ppp/2n5/2b2b2/3p1B2/1B3NRP/PPP2PP1/R2Q2K1 b - - 6 15|g4g3|Rg3|d4d3
rnbqk2r/ppp1bppp/5n2/3p4/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq - 2 6|f1d3|Bd3|e8g8
1r3bR1/p1p1k3/2B5/4pp1p/5q2/P1B5/1PP5/6RK b - - 0 31|a2a3|a3|f4h4
8/8/1p6/2p2RB1/2k1p2P/4P3/1r1PK2r/8 w - - 1 45|h1h2|Rh2+|e2d1
r4rk1/pp4pp/2nqbb2/4Np2/2B5/2B1Q3/P2P1PPP/R3R1K1 w - - 1 18|e8g8|O-O|e5c6
r4rk1/ppq3pp/2p2n2/3pb3/4p1b1/1PN1P1P1/PBPQ1PBP/R4RK1 w - - 3 16|c8g4|Bg4|f2f3
2rq1rk1/pb2bpp1/1p2p2p/2pp4/3P1Pn1/2PBP3/PP1N2PP/2RQ1RK1 w - - 0 14|f6g4|Nxg4|d1g4
r1bqkbnr/pppppppp/2n5/8/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 2 2|f1c4|Bc4|g8f6
8/pb4pp/2p5/2P1kp2/1P2p3/2K1P3/P3B1PP/8 b - - 0 26|b2b4|b4|b7c8
1k1r3r/ppp5/2n2p2/6p1/2P1P3/2P2bPP/P4KB1/R6R w - - 0 25|h5f3|Bxf3|g2f3
r1bqk2r/ppp2ppp/3pn3/2bPp3/8/2PP3N/PP3PPP/R1BQKB1R w KQkq - 1 10|d4e6|Ne6|d3d4
8/2rr3p/6p1/2k2pB1/2R1pK1P/1P4P1/8/8 b - - 33 61|b4c4|Rc4+|c5d5
